Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e936e836db36db360a37e736ea36ea36e636e4365d375e37e6360b37d236d536,1e371d3750374f370e371037ea360f3766366636a936a936e336e1361d352035,df36de361437143710371037f436f4369a369736a736a6360e370f37a0369e36,1c07d4486416e160e6241d650f39cd6a21072247161553571e2559665a376769
1,1,0,e8360c37dc36db360b37e736e736e836e536e4365e375e37e6360b37d536d536,1d371c374e374f37ea360d37eb36ea3666366536a836aa36e536e73620351c35,e136dd36153712370f371037f436f43696369a36a936a8360d370e37a036a036,6a58ed149b4818072935df02e82653054f6117175851d610a838e304cc286205
2,2,0,e936e636db36d936e636e736e836e836e436e4365d375d37e6360c37d636d736,1d371e374c3750370f370e37ea36103764366136a836a936e436e2361f351e35,df36e1361437143713371237f336173799369936a736a8360f370f379e369c36,1723d864cf34d568db44306765584e689c1a63641c336c68dc44e968d6566768
3,3,0,e836e836da36db36e736e636e936e736e236e4365c376037e7360b37d536d436,1d371f374d374f370f370f370d370f3767366636a936a836e536e2361d351d35,df36df361537133712371137f236f23698369836a836a7360f370f379e369e36,5f42cf04d3305c039f16dc049d090e1587446505a1329d03202198064b0b9a0c
4,4,0,e936e636db36db360b37e536e836e736e436e7365f375e37e6360b37d536d436,1e371d374c374d3710370f370e37e83666366636a936a936e636e3361e351d35,df36de361437143710371037f336f43698369836a836a5360e370e379f369e36,db42e66866542268926228611569a654473a1169d1525b68965a195bce685455
5,5,0,e736e636db36dd360a37e736e936e736e436e3365f375d37e736e836d436d436,1e371d374f3752370d370f37ea360d3764366736a836a736e336e5361c351d35,e036df3615371537ec361037f336f33697369836a636a7360d370f379f369f36,a022de04e51254129c030e171405e32acf241605a613f010e2068a185a055929
6,6,0,e836e936db36dc360a370c37e936e636e536e6365e375c37e736e636d236d436,1d3720374d374e370e371037eb36ea3663366236a636a736e436e4361d351935,df36df3614371537103711371837f43697369536a636a7360c370e379d369f36,da589764cf6659565e675c435b69ea34595818655e66e556df68a4465b69cf36
7,7,0,e736e936dd36dc36e7360a37e836e936e436e4365c375d37e636e836d536d436,1e371f374d374e370d370f37ea36ea3662366136a736a736e336e6361e351c35,df36dd36143714371037eb361837f33695369736a636a73610370f379e36a036,e20662168e04ce26e402a7361609d04ad1081e15e0042025d104da36e0081849
8,8,0,e936e536dc36dc36e736e736e836e936e536e6365e375e37e636e736d436d236,1d371d374e374c3710370d370e370e3767366336a836a436e436e2361f352035,de36df3614371437ec361037f336f03695369836a636a6360e370f379e369e36,a2685b48e568d636de6464234a59ce169568574ae968a238a766e326a0596418
9,9,0,e8360c37db36dc360b370b37e736e736e636e5365f375e370a37e736d436d436,1e371c374c374e3710370e370e37ea3664366436a836a836e636e6361c351d35,e036dd361437143710371037f236f53697369836a736a73610370f379f369f36,5003d1349d069846ae1220551025aa66a20447340010e2441e1350566b234f65
10,10,0,0c37e936dc36da36e8360b37ea36e736e236e2365e375e37e736e436d536d336,1f371d374b374e370f370f370e370f3766366436a836a736e436e33620351b35,df36de36143715371037eb36f336f43696369736a636a8360f370d379d369e36,e9666c289d6251182d519210134394065e68a232f1621b1968536e09d544e806
11,11,0,e836e836dc36dc36e736e836e836e936e436e5365e375d37e6360b37d536d536,1d371c374c3750370e3710370e370e3762366536aa36a736e236e6361e351e35,de36de36133715371237eb361937f53696369736a836a5360e3711379d369f36,21096354e0181e639327a966d444d56a1a11d64a6517995ada281d681a3ba169
12,12,0,0d37e936da36da36e736e736ea36e836e536e5365d375d37e636e636d436d536,1e371c374d374e370e3710370e37e93667366336a736a836e236e43621351e35,e136e036153713370f371037f036f23699369736a836a8360f370e37a2369e36,1855a40adf4456069b32aa02541cce06df56cd14a2460f10e334a2041a25d206
13,13,0,e9360c37dc36dc36e736e7360f37e836e536e4365d375e37e736e536d436d336,1d371d374d37503710370f37e936e93661366736a936a736e636e7361e351d35,e036de36123714370f37ec36f136f43695369636a536a6360d370f37a036a036,aa26a766963815696247e866d55a51654d255f66de36de689848a76826599a66
14,14,0,e836e936db36dc36e7360a37e836e736e436e4365f375d37e6360a37d536d536,1e371c374d374e370f371137e9360e3766366736a736a736e436e3361e351b35,de36df361437143710370f37f336f13698369a36a836a93611370f379e36a136,97365e0414269e042f132d10a6085e18c838e604e326ab03a6165d082609ec16
15,15,0,0b370c37db36db36e7360b37e836e936e536e7365d375d37e736e736d336d536,1d371f374e374d370e3710371037eb3667366636a736a836e536e6361d351d35,df36dd3614371337103710371b37f53698369836a836a8360f371037a0369e36,9a46d468e05661666863ac56946a1349e7440b695756a666a264df585069a149
16,16,0,e9360b37db36db360c37e736e936e736e636e4365e375e37e636e736d436d536,1c371d374d374f370d370d37ea360e3765366536a836a736e536e3361f352035,e036de36133715370f371037f036f33699369836a836a83611370e379e369e36,f0169706d1088c141c03d7221d05ab361f19a106921124134e05ea2252051e35
17,17,0,e7360d37db36d936e636e536e736e736e236e5365d375e370c37e736d236d436,1d371d374e374e370f370e370e37eb3666366236aa36a936e336e5361d351f35,de36e0361537143711371037f336f33699369736a736a536123710379f36a036,18635d5a8b68d2525b67b040d36848299e621a64186764531169e442e068e32a
18,18,0,e836e836db36db36e7360c37e736e836e636e4365f375c37e6360937d436d536,1d371f374f374f370f370e370d370d3762366736a836a936e236e4361e351f35,de36df361337123711371037f336f3369a369636a736a8360f370e379e369d36,2005e21856038f326203a4421f135d56e2069018a403db2820059e3ab709cf54
19,19,0,0c370c37db36db36e736e836e836e836e436e2365c375f37e736e636d536d536,1e371d374e374f3711370d370e37ea3662366736aa36a836e336e3361a352035,e136df36153714370f371237f236183796369736a936a8360d3710379e369e36,e2689d449a681133e962aa18d2568913df68a446a768e034d86451235657140d
20,20,0,e836e836dc36de360b370a37e736e736e236e4365d375f37e636e736d636d536,1d371d3751374f37123710370d370d3769366436a536cd36e436e23621351f35,e136dd3614371437103710371837f33696369936a636a63610370d379d369e36,720497388d0857521215dc60a6289a68d804e83661109e506816a1581d272167
21,21,0,e736e636da36d936e736e836ea36e736e536e4365d375d37e6360b37d336d436,1e371f374e374f37103710370e37ea3666366836a936a936e336e33620351f35,e236de3614371537103710371737183797369836a736a73610370f379e369e36,4c65d6245958db1497460f104c372105cc66e026db58a116db489008ed386e05
22,22,0,0c370c37dc36dc36e7360a37e936e936e436e8365d375c37e736e736d536d236,1f371f374f374f3712371037ea360e3766366936a736a936e536e3361e351c35,e136df361637163710371137f336f43697369a36a636a6360e370e379f369e36,6814df56912423666b331e6798489d6a4d145856ed22a6649c34a068e0469869
23,23,0,e836e736da36d836e636e736e936e936e436e4365c375c37e736e636d336d436,1e371e374e374e37103710370e37eb3666366536a736a936e336e5361d352035,df36df36143713371037ec36f536f53696369936a736a6360f3711379e369e36,6f529b081d41ce04a326d802d0188a0889546f11e5422c052031a0046a195b07
24,24,0,0d37e936dc36dc36e836e836e736e736e336e2365f375a370b37e736d536d436,1d371f374d374f3710370f370f37e93660366636a736a936e436e33621351a35,de36e0361337163710370f37f436f23699369936a636a9360f370d379d369f36,6c3259685c441a6925535b650f651d63e3284568a542ed682553256890649664
25,25,0,0c37e936dc36db36e636e636e736ea36e436e5365c375e37e5360a37d636d436,1d371c374e374f370e370f370d370e3767366536a836a936e336e6361f351d35,df36e0361437153712370f37f236f23698369836a636a83610370f379e36a036,d4324e0361221e061d11e810e006dc1ae034cb04292322055c1359095e075f19
26,26,0,e836e836db36dc36e536e636e736e836e536e4365b375a37e736e736d536d636,1e371d374f374f37103710370e370d3765366436a836a736e536e3361f351b35,df36de361437143710371037f136f23697369836a736a73611370f37a0369d36,335263685462666431655c53d16a5145c748cd68a458d86497668f569769ed46
27,27,0,e7360c37da36dc36e836e836e936e936e236e4365a375d37e636e636d536d636,1d371d374f374f3710371037ea360d3766366936a536a636e436e3361d352035,e036e0361437143710371037f336f23699369c36a836a8360f3712379e369f36,9f146408d906db16b10263255e059439a316620870106916d9049d266b05de38
28,28,0,e6360c37db36db36e636e536ea36ea36e436e6365d375e370b37e636d236d336,1e371d375037503710370f370f370e3768366536a936a836e436e53620352035,df36de361537133710371037f236f13698369736a736a9360e370f379d369d36,1a651758dd681b472867d534e7668b26cd64dd589f68dc50e068243827674e27
29,29,0,e7360d37db36db360a37e736eb36e836e436e3365c375c37e736e536d436d536,1c371c374e374e3710371037ea360e3763366436a736a836e436e63620352035,e036de361437153710371037f336f13699369536aa36a8360f370f37a1369d36,9a047224620454360a1031455e15db5852051a23a0039f33d3066046e70c4c57
30,30,0,0d37e736db36d8360c37e636e936e736e436e5365d376037e7360b37d336d536,1e371d374e374e370f3710370e37ea3667366736a736a836e336e53620351e35,de36e0361437143712370f37f236f33697369736a536a8360e370f37a136a136,e668d738e7662a28e5602815484c5809136ae34224671e31cf5aa718d854e40a
31,31,0,0c37e936dc36db36e836e736e936e836e736e4365f375e37e6360c37d336d336,1d371c374b374e3710370f370f37e83665366436aa36a836e436e4361c352035,de36df361237143711370f371a37f43697369736a436a63610370f379f36a036,180560449a1208566a17da628c3449694c05cf425e112853df18e15ad72adf68
32,32,0,0c370c37dd36db36e536e736e836e436e436e2365e375f37e6360b37d436d436,1e371d374e374f3710370e37ec36e93667366536a836a936e636e53621351e35,dd36df361237143710370f37f036f03699369436a536a73610370f379d369f36,29641f19dc549812e0426c0361331305d5644f246b5659132345a60627355105
33,33,0,e9360c37dc36d936e836e836e936e636e636e6365d375d370a370a37d436d536,1d371d374f3752370e370e370e37e93664366636a836aa36e436e5361f351e35,dd36de36143715370f370f37f536f5369a369736a936a6360e371037a0369e36,db16295a2828ea6624375e674f4c4b699016ce58a0269d665f38e66896494e69
34,34,0,0c37e736d836dc36e7360b37e636e836e336e2365c375d370a370a37d636d336,1d371d374f374f370e370e37e9360e3768366636a736a936e336e3361e352035,de36de361237143710370f37f336f33696369936a636a63610370f379f369c36,dc46a00653366404122318035a155b09d8488f082037b1036226dc0415172509
35,35,0,0c37e836da36dc36e6360a37e736e936e436e2365f375f37e736e636d636d436,1c371d374d374f370f370f37eb360e3769366836a636a836e436e2361d352035,df36df361237123711371137f336183798369b36a536a6360c371037a0369e36,5736d3681b47dc6891569c641067d558cb34c7686346e368a256666695665159
36,36,0,e7360b37dc36dc36e836e836ea36e736e536e23660375e37e836e736d336d436,1d371d374e374d370f370e370f37eb3666366636a636a936e536e4361e351f35,e136df361537133711370f37f536f23696369536a636a5360f370e379e369f36,e9265c04d616d7065e101a135e0590261b29c904a418051026097013d506ed24
37,37,0,0d37e836dc36dc36e7360b37e936ea36e436e4365b375d370b37e636d336d636,1e371d374f374f370f370d37ea360f3762366836a536ce36e236e4361d351c35,de36dd361437123711371137f536f43698369936a736a7360f370f379e369d36,de54d46665645362e0666a47d26a8f3953544968e262d1625468eb4aa4695443
38,38,0,0d370c37dd36d9360c37e836e836e736e436e53660375d37e736e736d436d436,1b371e374e374e370f370f370f37ea3664366536a736a736e136e2361e352035,dc36e0361537143711371037f536f23698369636a636a73610370f379d369e36,5a096c0a1c066022a7023431e50657455e1465110010e018a1045a32e406a344
39,39,0,e8360c37db36dc36e636e736e936e736e436e2365f375e37e6360b37d236d536,1f371c374c3750370e370e37ea36ea3664366436a636a636e336e33620352135,e036de361337133711371037f236f23697369736a536a5360f370f379d36a036,e1669f5418695b44d4661631e664d61a9f668e56e6681e4598685b3354659c24
40,40,0,0c370d37dc36dc36e636e736e936e736e536e5365d375d370a37e736d336d436,1e371e374d374d370e370e370d370e3766366536a636a836e536e2361f351f35,df36de36133712371037ec36f136f33698369736aa36a7360d370f379e369e36,53032d28cc041c4168102051d4182263dc04ce26e00464389d0815495d177159
41,41,0,0c370c37db36da36e6360b37e736e736e436e4365d375d370a37e736d436d536,1d371d3750374f370e370e370e37ea3666366536a736a736e736e3361d351c35,de36de361437153711371137f036183796369636a736a6360f3710379e369f36,a868f1341f6692243155e01291486208e3681e37676664268d5850152249e608
42,42,0,0c370b37dc36dc36e736e636e736e836e436e5365d375d370b37e636d436d236,1d371d374f374d37103710370e37ea3664366636a736cf36e136e4361f351c35,df36e0361337123711371037f536f13696369536a836a83610371037a1369e36,d1061c48db1458583023da6452389c6ad9068c469313a9566823e764a1365d69
43,43,0,e8360d37db36db360d37e836e836e736e236e4365c375d370b37e536d336d136,1b371e374f374e3710370f370f37e73666366736a836a536e336e6361d351b35,df36df361337143711371137f236f13697369636a536a6360f370f37a2369d36,ef589d1655528b08e8361403a5282105d062a418ec52261163391a0564295905
44,44,0,0b370c37db36da36e836e636e836e936e536e5365e375e37e736e636d236d336,1f371c374f374d3710371037ea36ea3667366636a836a736e636e5361e351d35,df36e13614371437ec361037f336f33693369836a736a936113712379f369f36,5e1a63641233996821435e67d65697680d190e6360315467214311692555cc68
45,45,0,e736e736da36d936e5360c37e736e936e636e4365d375e37e736e536d336d436,1f371f374e374f370f370e370f37eb3664366736a836a936e536e1361e351d35,e136df361237133710371137f436f23698369636a636a8360f3710379e36a036,1843e8048f3258032a179a031a138f141e45c9065e339c03d4225705c70c220b
46,46,0,e836e736dd36dc36e536e736e836e936e436e5365c375c37e6360b37d236d336,1d3720374f3750370e371037e9360e3765366736aa36a736e536e43618351d35,df36de3614371337ec361137f2361a3797369636a836a53610370e379e36a136,1e41e568d35261681861a662d66856558f38e86819519b681359935c6568db56
47,47,0,0c37e736db36da36e6360b37e936e936e436e5365d375e370c37e836d536d636,1d371d3750374e3711371037ea36ea3662366436a736a736e536e6361c351e35,e036df361337123710371337f036f33698369636a736a836103710379d369e36,3124a2048e14d0080f05661516054b298726e3042b15a2105108db1663059c28
48,48,0,e936e836da36db360a37e736e736e736e836e5365b375d37e736e736d436d436,1c371d3753374f3710370f370f37eb3667366736a936a836e436e3361a351d35,e036e0361437143710370f37f536f43695369636a636a736103712379f369e36,5958e6646666e1562d6718459069a436d0568966e9646a58ab685d486d698d38
49,49,0,0e37e836db36dc36e736e736e836e736e636e5365c375e37e636e636d436d436,1b371d374c374e370e371037ea36ea3665366436a736aa36e536e7361e351c35,de36de361437153712371037f236f23699369936a736a8360f370f379d369f36,2f08d9149d041426da021a35a608184928119c1400108e23a4041f359d086048
50,50,0,0d370c37db36da360a37e636e936e836e536e4365a375c370b37e636d436d336,1e371d374f374f3710370e37eb36eb3666366636a736a836e236e5361e352035,e036df361537143712370f37f336f53697369836a936a8360e370e379e369d36,6a68f1501569963824652025d05a57185a68e74aec685d3aea669f2824631219
51,51,0,e8360b37d936da36e736e736e936ea36e236e5365e375c370b37e636d436d236,1e371e374d374d370d371137ea36ea3666366536aa36a836e536e2361f351c35,e036df361537153710371037f236f33698369636a936a73610370e379c36a136,5003f332550608462b119b54591c5765a404622a00102843a412a054e022d964
52,52,0,0c37e936dc36da36e936e936e836e636e436e6365c375c370b370a37d336d336,1f371e374f37503711370f37ea360f3766366636a836a936e736e7361c351d35,e036de361537163710370f37f136183799369936a836a8360e3711379e369d36,2b684c291963df18e452d710d244ab069a685d349063d0221755ee128e462607
53,53,0,e936e636db36dc36e7360c37e836e736e536e6365a375d37e736e636d436d536,1d371f374d374e3711370d37ea360e3765366536a736a736e736e33620351d35,e036de361437143711370f37f136f33697369836a736a8360f370e37a036a036,d208d6525218a062e72690661843d36ac808204ae01618592128d46661399e69
54,54,0,e836e936dc36d936e5360a37e636e836e336e6365e375e37e836e536d436d536,1c371e374d374f37103710371037eb3662366536a836a936e536e6361e351b35,de36de361237143710371137f236f53697369836a936a7360e3710379f369e36,a456260b9a469b062d33b002e62493068c58501559472e10a136ab04ca269e06
55,55,0,0c370d37dc36dc36e736e636e736e936e436e6365d375d37e636e836d436d436,1c371e374e374f3710371037ea36103765366236a936a836e436e5361c351f35,dd36e0361437143711371037f336f43697369936a836a7360f371037a1369d36,f2245c66d636e968ae461f674f59a866982411652035d068e046d868a058e566
56,56,0,e836e836db36db36e736e836e636e736e536e4365d375e37e736e636d536d436,1c371f374f374d3710370f37eb36eb3663366436a936a936e336e7361d352035,df36df361437153710371037f536f33698369a36a636a736113710379f369f36,31386b04c8268d04d71416101309d216613a1f059e28a3035318ec069809550d
57,57,0,0e37e736db36db36e636e736e736e736e536e6365d375d37e4360a37d436d536,1d371f374d374e370f3711370e37e93664366336a536a736e336e6361d351f35,de36dc361437153710371037f436f3369a369736a536a9360f371237a1369f36,e244e1685756ce661b63a0605d69a84a4f44156aa654ea664e5c5e5913695a53
58,58,0,e8360d37dc36db36e836e736e836e736e536e5365d375d37e536e836d436d536,1d371f374d374f3710371037eb36ea3665366336a636a836e636e5361d351b35,df36de361437143710371137f236f33697369836a836a8360f370e379f369e36,a1184f052911e6123303e51814051035d11a5d05e912a81290065d2251056233
59,59,0,e6360c37db36db36e936e736e736e936e336e5365d375e370b37e736d336d436,1e371e374e374f3711370e37ea36103764366536a636ce36e736e3361d351e35,df36dd36153714370f3710371937f23698369a36a936a836113710379e369e36,9a5add5a266860545f6761411369e12a1c5a9464d866f354ea68a0441e69ca34
60,60,0,e736e936db36d936e6360c37e836e736e636e4365d375d37e736e736d436d336,1d371c374f3750370f370e37ea360e3763366436a736a736e636e2361b351d35,de36e1361437143710371237f236173796369636a736a836143710379e369e36,68062f185a03d23025031441a40aa9544c07e716a7032027eb04e3386509104b
61,61,0,e8360d37db36db36e736e836e936e736e536e4365e375d370b37e836d536d536,1e371c374f3750370d370e37ec36eb3662366536a836a836e236e5361d351f35,de36df36143714370f371137f236f3369a369836a836a8360f370d379e369c36,dd685846ce68d13435639c225f58e814d2685848d868a0362565e424d958a116
62,62,0,e936e936da36dc36e636e936e936ea36e736e5365e375d370b370937d336d336,1c371c3750374f3710370f37ea360f3762366636a836a936e436e3361f352035,df36de361237153710371037f536f2369a369c36a936a83611370f379e369d36,6404dc361a079d486e13e6560e275268ce044c351910e246e1141f586a25d966
63,63,0,e8360d37dc36db36e936e836e836e936e536e4365c375c37e636e436d436d536,1e371d374d374e370e370f370f37ec3663366536a636a736e636e63620352035,e136df361237143710370f37f336f13698369a36a936a836103710379e36a036,73666826de60651623472510e93850050f679828615a2817904ae008a139a306
64,64,0,e936e736db36dc36e836e736e836e736e536e6365e375d37e6360b37d336d536,1d371d374f374d3710371037eb36ea3666366736a836a836e236e5361f351f35,dd36df361537143710371037f236f33696369836a836a936103710379e369f36,e10a5b56de22d164da321067de46cd6acf12ce545f212c63dd3263682745a069
65,65,0,0c370e37db36da36e736e936e936e836e436e7365c375c370a370b37d336d436,1c371f3750374f370e370f37ea360f3766366636a836a936e236e5361e352035,df36de361437143712371037f236f13699369836a736a6360d3710379d369d36,2153ed08d742e4045a27a8025d191e0713550e1398430010db329e0420231807
66,66,0,0b370c37db36dc36e636e836e736e836e536e2365d375c37e536e736d436d236,1c371e374d374e370e371037eb36ea3668366b36a936a636e636e33621351a35,df36e0361437163710371037f536f53696369736a836a9360f3712379f369e36,d2281f689f4218699d52a26694649e644e28de66e838ed68964a6468e55aed64
67,67,0,0d370b37d936d9360b37e636e936e836e536e4365d375d370a37e636d336d536,1e371d374f374f370f370e37eb36eb3665366836a836a636e536e4361e351b35,df36df36143713370f371037f536f53697369936a836a936113710379e369f36,6d3450031023df046c119e1049074c199e36d204e224e904dd14e108c808d518
68,68,0,e836e836db36db36e5360b37e736e736e636e5365b375d37e736e736d336d436,1e371d374f37503710370e37ea36ea3665366736aa36a836e236e3361b351f35,dd36de361537153710371037f236f23698369636a636a9360e370f379f36a036,9d489a68d060dc640e65e754cd6a0f470e47dd681d5726654e6616576869a348
69,69,0,e9360c37db36dc3609370b37e736e936e736e6365d375d370b37e736d536d536,1d371f374f374f370e370f37ea36eb3664366536aa36a636e336e53622351c35,df36de361237153711371237f436f33698369a36a736a73612371037a1369e36,2615170722075016de02ad244f05d73850171607e010e514e904e7245d052237
70,70,0,e936e936d936da360b37e736e736e736e436e4365d375e37e736e536d436d436,1e371d374f374f37113712370e37ea3668366836a836a736e536e5361d352035,e036e2361537143710371037f136f23693369836a536a836103711379e369d36,ab64a058cc68d0482a675f355968202756645f6168686d52eb68e1389568e128
71,71,0,e936e836dc36dc36e7360a37e836e636e336e5365e375d37e736e736d636d436,1d371d374f374d370f370e370e37eb3665366536a636a936e536e33620351c35,e036df361437123712371137ef36f23697369636a536a736103711379e369e36,d504e0225a039734ad04a644db1453589106621a9d03e4328f06a544690ba056
72,72,0,e836e936dc36d936e6360c37ea36e836e536e5365d375d37e836e836d436d436,1d371d374e374f370d371037ea36eb3667366536aa36aa36e236e7361d352035,de36df3613371537ec361037f336183798369736a636a5360f3710379d369e36,e76899425068e9303261d816da54ce0a10699d446268da32285c56226556570b
73,73,0,e7360c37dc36db36e7360c37e936e636e536e4365d375c370c37e636d436d336,1d371b3750374d3710371037ea36ea3664366536a936a736e336e3361e352135,df36df361537143710370f37f036183799369736a636a7360f370e37a236a036,d904a5421f115254dd166562ce2a0e6913051039e7109b525618655a1e299d68
74,74,0,e836e836db36dc360a370b37e836e836e436e5365c375e37e6360a37d436d536,1e371a374f374f3710370f37eb36e93667366536a736a836e336e33620351e35,df36de36143712370f370f37f336f3369b369d36a536a73610370f379e369f36,a064d6228d5617136f43ad04243516052665e224f156dd14dc46eb06e2365b05
75,75,0,e836e936da36db360a37e536e936e936e736e4365e375e37e6360b37d336d536,1d371d374d374f3710370e37ea360e3766366436aa36a536e436e3361e352135,df36de361437153710371037f236f13697369836a736a6360f3710379d369e36,5415a8589426c96697365a67984a6169e8144858e7242d66a236da68e2485f69
76,76,0,e936e836dc36dc36e7360a370e37e836e636e2365d375f370b37e636d536d536,1d371d374d374d3711370f370e370f3764366636a836a736e436e63620351f35,de36e0361537143711371137f436f43697369636a836a736103710379e369c36,6f48ec060f3791049f23e402e116e8088d4ade08db38ea041c27d0049b18d708
77,77,0,e636e936d936dc36e736e536e936e636e536e5365d375d37e736e636d436d636,1d371f374f374f370d370e370f37ea3666366836a936a836e336e4361b352235,de36dd361437153711371037f336f53697369836a736a83610370f379e369e36,9b34a0686146e868145510659e665b590d338d68a844ea681955d3662165d25a
78,78,0,e836e936db36db360a37e736e836e936e536e4365f375b37e836e636d636d636,1d371e374d374e3710370e37ea360e3766366536a636a836e536e2361d351f35,e136df361437153711371237f236f23697369836a736a9360f3710379f369f36,a62853038b1895069b10a0129706d724da32a20452210010a0121213ee065c23
79,79,0,0c37e836da36dc36e736e836ea36e836e636e5365c375f370c370b37d536d336,1d371e374d375037113711371137eb3665366436a736a836e436e63620351e35,dd36de361337123710371037f336f33696369a36a836a7360f370e379f369f36,2b541968eb62d162a6669052d66a4e439e4a8768685a256311689c54a069e944
80,80,0,0d37e736dc36da36e736e736e836e836e836e4365f375c37e736e536d236d536,1d371e374b375037103710370e37eb3668366436ce36a736e636e3361e351f35,de36de361437143710370f37f136f33696369736a936a736113711379f369d36,d90a18095f06cf18a7025f27a5069d44dd140e0917105617a404a228cf06e03a
81,81,0,e936e836db36dc36e736e636e836e836e536e4365d375e370b37e636d336d536,1d371e374f374e370d370f37eb36eb3665366836a736a736e136e5361c351c35,e136df36153714370f370f37f136f43694369736a736a73611370f37a0369f36,9d664d55136916460f67a83260668d2455651357db68da46cf681d35c9664f25
82,82,0,e736e836d836d936e836e836e836e736e236e5365e375e37e5360a37d436d536,1d371b3750374e370e371137e936eb3665366136a936a836e236e2361f351e35,df36df361637143711371237f536f53698369736a836a7360f370d379f369d36,5f0497269b045d3826102e474817a25a0d051725aa03a83651086248db161359
83,83,0,e7360c37dc36d936e736e736e936e936e536e4365d375e370b37e736d436d436,1f371e374d374f37103710370f37eb3669366836a936a836e436e4361c351d35,df36e0361437143711371037f436f23696369636a736a8360e3710379e369f36,d868cf3691662726df5660134d49cf081169de38d4661a271359d816d94a5309
84,84,0,e836e836db36db36e836e636e736e736e436e5365f375e37e6360b37d236d336,1d371d374d374f3710370e37eb36ea3668366636a836a936e236e5361f351e35,dd36dd361337123710371237f436f2369a369936a836a7360d3710379f36a136,690665465713d156a1225e6393368d699606d24416131b55d622965ce6342769
85,85,0,e736e836db36dc36e7360c37e736e936e536e5365b375c370b37e536d436d336,1d371d3750374f3710371037ea36e93665366436a936a836e436e3361d351e35,e136df36143714370f371037f336f53697369736a636a73610370f37a0369f36,6d5a2a18e552dd08e8401f035c2917054b64541a9953a0121e435605182b5205
86,86,0,e836e736db36da360c37e736e836e736e636e5365c375e37e6360a37d436d336,1e371c3750374e37113710370e370f3765366536a636a736e436e4361f352035,de36de361537133710371137f336193796369936a736a8360f371137a0369e36,d118eb6259325d68914260674b55db685c189062a428f066643910699c54ed68
87,87,0,e9360e37dd36da36e636e736e736eb36e436e2365c375c37e536e736d536d436,1f371f37503752370d370c37eb36ea3668366636a736aa36e336e3361f351d35,dd36e2361537143712371037f536f5369a369836a536a836103710379e369f36,d8444d0526335603dd18330399141113d8460d071935a303632320051f0da909
88,88,0,0c37e936dc36db36e836e836e736e636e436e4365d375e37e836e536d436d236,1d371c374f3750370d371037eb36eb3665366136a936a936e136e5361a351f35,de36e136123714370f371037f336f33698369836a636a7360f3710379e369f36,6238e3681d51a068a76015639168e356d336de686548d0689358e36419676758
89,89,0,e936e636da36dc360b370b37e836e736e436e6365c375d370a370b37d436d536,1d371e374e374d3710371037eb36eb3666366536a836a936e436e33620351e35,df36de36143713370f371037f336183797369836a836a8360f371137a1369e36,ea246e0412165e081210dd14230593281a27d404d61658109b0853159806e826
90,90,0,0c37e836da36dc36e736e736e536e736e236e5365d375d3709370937d636d236,1d371e375037503710371237eb36ea3667366536a736a836e536e73621351e35,df36df3615371537ec36ec36173718379a369836a936a7360f3710379e369f36,cf565a6615668c582267a646a06a65382455d5669763ed58996813499b691f39
91,91,0,e8360b37db36db360a37e836ea36e836e436e4365d375d37e636e636d236d436,1b371e374e374f3710371037ea36eb3664366936a936a736e136e4361f351e35,df36de361437153711371037f536f33698369936a836a7360e3711379f369e36,a608510bd4045823af0231335d085f48a0121b130010da22a00461335407cd46
92,92,0,e836e836dd36dc360c37e736e836e836e636e6365f375d37e536e636d336d236,1d371c374d374f370e370d37ea36eb3667366636a936a636e436e6361f352035,df36de36143714371337ec36f536f13698369836a736a9360f370f379d369e36,3168a552176954426966d9264d63e31818679b54ec681b4351685632c964a921
93,93,0,e836e936d936dc36e736e636e936e936e736e73660375d37e6360a37d536d536,1c371e3750374f370e370e37ec36ea3664366736a736a936e536e5361d351f35,de36e0361737133710370f37f436f53697369936a736a9360e370f379e369f36,5003312a18062643dc101053a81add64cc04d2281e05693a4c09134b4e196064
94,94,0,0d37e936db36da360b37e836e836e836e436e2365c375f37e736e736d436d336,1e371e374e374f3710371137eb36e93666366536a836a736e336e4361c352335,de36e0361437153710371037f136f53697369836a736a5360f3711379e369e36,6768e832976496226c5324118d46ea06cf681835e5646423a1566a1321478b08
95,95,0,e836e836db36db36e736e636e736e936e536e3365e3760370c37e836d436d736,1e371f374f374e3710370f37eb36ea3663366736a936a836e636e6361c351c35,e036df361437163711370f37f236f3369a369836a736a8360f370f379f369e36,5a081f51a41621622b2527655939d26a57088e485415955867269066c9387169
96,96,0,0c370c37dc36dd36e736e636e836e936e536e5365d375e37e536e736d536d536,1e371d3750374f3710371037ea360f3764366736ce36a836e236e63620351d35,dd36e0361537143712371137f236f43699369636a836a73610370f379e369f36,2b58d5145348e306e634d802a22659051059d616f1509c105d38dc0461286605
97,97,0,0c37e736db36db36e7360a37e936e836e636e4365d375e37e6360a37d236d536,1e371b374f374e370e370e37ea36ea3668366536cd36a836e436e53622352135,dd36de36153715370f371037f336f23697369736a636a6360e371037a1369e36,5f24eb641936d96820452967a6581767df1a9f6466339c682445e26816575267
