Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0e001e001e00ecffdcff0e00f8ffe8ff180018000200f0fff4ff06000800f8ff,d236d2365d350040ab36ac369c369d36dc36dd3657385538df36e036d036d136,fcff1e00e6fff6fffafffaff06000600eeff0c0030000000000000001e001e00,d6669524d75897142d472d055736d002163716379836963608370637e036dd36
1,1,0,fcffecfffcfffcff0e00fcff0800080028000800f0ff1200f4fff4ff08000800,d536d13600400040aa36ae369b369d36dd36de3656385638de36e036d036d136,fcffecff0800f6fffaff2800e6ff1600eeffdeff00000000000000000e001e00,30139458a524eb662b356a6a1d47686a153716379736973606370737e036e136
2,2,0,0e00fcffecff0e00fcff1e000800f8ff080018001200f0fff4ffe4fff8fff8ff,d236d23600405b36ad36ad369e369c36de36de3656385638de36df36cf36d136,fcfffcfff6ffd6ff2800faff0600f6ff1c00c0ff0000f0ff000010001e000e00,d34a1f074a3959030f27d40292164805163714379a36983607370737e036de36
3,3,0,ecffecfffcffecff1e00fcffe8fff8ff2800080012000200f4fff4fff8fff8ff,d236d33600405b36aa36aa369e369c36dd36dd3657385438de36dd36d036d136,fcfffcffc4ffe6ffeaff080036000600eefffeff0000000000002000fefffeff,cd321f69dc44e06a25559168d764cc5a153717379936983606370737e136df36
4,4,0,fcff1e000e00ecfffcff1e00f8fff8ff08002800240002000600f4ff1800f8ff,d236d03600405d36ae36ad36a0369d36dc36de3656382f38e036e136d136d136,fcfffcfff6ffe6ff0800eaff16000600deffeeff0000100030000000deff2e00,a432ce024519d70417091a099404e5181437173799369a3607370837df36e036
5,5,0,fcff1e00fcfffcfffcff0e00f8ff0800f6ff180002000200f4ff1600e8ff1800,d436d23600400040aa36aa369e369f36db36de3652385638de36de36d136d136,fcffecff0800f6ff3800eafff6fff6ff0c00c0ff20000000100020001e000e00,d9521b69125b176594681f55a16a9344143716379736963606370737e036df36
6,6,0,fcffecfffcfffcfffcfffcff0800080018000800f0ff0200f4ff1600f8ff0800,d236d4365e360040ac36ad369d369f36dc36dd362f385438df36e036d236d136,ecff0e000800e6fffaff380016000600eefffeffd0fff0ff100010000e000e00,2d131f076705d916d40217271803ea40163715379836993607370437dd36e036
7,7,0,ecfffcff0e00ecff0e001e00e8ff18002800f6ff0200f0fff4ffe4ff0800f8ff,d236d33600400040ac36ac369c36a036dd36de3653385738de36e036d136d236,ecfffcffd6ffe6ff0800faff36001600c0fffeff0000f0ff00002000eeff0e00,da668e58aa6a5d47696a2635a3665924153715379836993606370637df36de36
8,8,0,ecfffcff0e00dcfffcffecfff8ffe8ff08000800f0fff0ff1600e4ff1800f8ff,d436d33663365d36ac36ae369d369e36dc36de3657385438dd36e036d036d136,ecffdcffe6fff6ffdaff18000600f6ffdeffc0ff2000e0ff100000000e000e00,190398241703a2365305514754149958133716379936973605370737e036df36
9,9,0,fcfffcffecfffcfffcffdcfff8fff8ff0800f6ff0200ceff060026001800f8ff,d336d3365d366136ad36ab369d369e36de36de3656385538e036df36d236d136,1e00dcffe6ffe6fffaffeafff6ff0600defffefff0ff2000000000000e00eeff,a46adc38a6684527a25a6416994ae906133716379836983607370537df36e036
10,10,0,0e00dcff1e001e000e000e000800d8fff6ff1800f0ff0200e4ff060018002800,d436d43600405f36aa36ad369e369f36de36dc3655385638df36de36d136d036,ecfffcfff6fff6fffaff0800f6ff0600a2ffd0fff0ff0000eeff2000feff0e00,a104d244671197561a22e664ce321b6a163713379636993607370737df36e036
11,11,0,fcffecffecffecff0e00ecff0800f8ff080008000200f0ffe4fff4ff0800f8ff,d336d4365b360040ac36ad36a0369e36dd36dd3656385538e036e136d236d236,fcff0e001800e6fffafffaff0600e6ffc0ffeefff0fff0ff000000000e000e00,cf64d81853554b09624491046431a302153715379936993607370637df36df36
12,12,0,ecfffcff0e00ecff1e00fcffe8ff1800e6ff1800f0ff02000600f4ff08000800,d236d33600400040ae36aa369e369f36de36dd3655385538e036df36cf36d036,1e00ccffe6ff0800faffeaff06000600eeffc0ff1000000010000000eeff2e00,d116e5626727d8682139a56ae04a0f6a173715379936993607370537e036e036
13,13,0,fcfffcffecffecfffcff1e001800e8ff0800e6ffe0fff0fff4ff0600f8fff8ff,d236d2365d360040aa36ac369d36a036dd36dd3655385438df36e036d236d136,0e00ccfff6ff1800faff1800e6ff1600c0ffdefff0ff100000000000feff0e00,ed4625055835140351241f0316132207143714379836983607370637e236e036
14,14,0,fcfffcffecff0e001e00fcff0800f8ffe6ff080002000200f4ff160008000800,d136d43661365d36ae36ac369e369f36dd36dc3655385638de36df36cf36d036,1e00fcfff6ff0800faff0800f6ffd6ffeeffc0ff10001000000000000e00deff,9936956aa448a26aa9589c66db6659581437143797369a3605370637e036e036
15,15,0,fcff0e00fcff1e000e003000f8ff0800f6ff18001200cefff4ffd4ffe8fff8ff,d436d43600400040aa36ac369b369d36dd36db3655385538df36de36d336d136,fcff0e00f6ffe6ff0800eaffe6ff2600feffeeff10001000000000000e00eeff,d926df0298169a06e4066714ed02a024163716379836983605370337df36e036
16,16,0,fcff1e00ecfffcff1e003000e8ff0800f6ff18001200020016001600e8fff8ff,d336d23600400040ad36ab369e369f36de36dc3657385638df36df36d136d036,1e00ecff0800f6fffaff18002600e6ff2a000c00f0ff0000000010000e000e00,695666685065d55a24696b529e6aa440153712379936983607370737df36df36
17,17,0,fcffecff0e00fcff0e001e00e8ffe8ff08001800120002001600e4fff8ff0800,d336d43600400040ac36ac369d369e36dd36de3657385738df36e136d136d036,fcff0e00f6ff0800faff080006001600d0ffeeff20000000100010000e00eeff,e7105911a7048c1aa602e4329f04da44163714379736983606370937df36de36
18,18,0,0e00fcffecffecfffcff1e000800e8fff6ff08000200020006002600d8fff8ff,d436d43600400040ae36ad369e369e36dd36db3657385638df36df36d336ce36,fcffecfff6fff6ffeaff280036000600eefffeff0000e0ff10000000eefffeff,a568e754e46a95440f6958299864a0181737153799369a3608370737e136de36
19,19,0,0e00fcfffcfffcfffcfffcff1800f8fff6ff18001200e0fff4fff4fff8ff0800,d336d23600400040ac36aa36a1369c36de36de3656385638dd36e036d136d236,0e000e00d6ffe6ff2800daffe6ff06000c001c00f0ff10002000deff0e000e00,d70261286303953a51071554d616e85a1637143798369a3607370837df36e036
20,20,0,fcffecffecfffcff30000e00e8ff08000800f6ff0200f0fff4ffd4fff8ff1800,d136d4365c360040ac36ad369e369e36de36de3655385738df36df36d236d236,fcfffcff0800e6ff0800180006000600eeffdefff0ff00002000defffeff0e00,656aea34b1665d232a570e13d5461405143716379836993603370637de36df36
21,21,0,fcfffcff1e00ecff1e000e000800e8fff6ffe6ff0200020006001600f8fff8ff,d236d43600400040ab36aa369d369e36de36df3657385538dd36df36d036d136,1e000e00e6fff6ff180008000600e6ff3a00eefff0ff0000000010001e00feff,69069a48b4141a59d5240b67a036906a133715379836993607370737df36df36
22,22,0,0e00fcff0e00fcff0e00fcff0800e8ff180008001200020006001600f8ff1800,d536d13600400040ac36a9369d369e36de36dc3654385538e036de36d236d136,ecff0e00e6ffe6fffafffaff46001600feff0c0000002000deffeeff1e000e00,91622e159f521d0795380f039a26d602153718379836983605370637df36df36
23,23,0,fcff0e00fcfffcff0e000e000800e8fff6ff180012000200f4fff4fff8ff1800,d336d53600405d36aa36ae369b369e36dc36dd3655385438de36e036d036d236,baffdcfff6fff6ff28000800e6fff6ffeeff1c0000000000deff0000feff0e00,5c1920655733646a0f45a06a6b565668143716379836973609370637e036e036
24,24,0,0e00dcff0e00ecff0e001e00f8fff8ff0800e6fff0fff0ff1600f4ff2800f8ff,d136d23600400040ad36ad369d369d36dd36dc3656385438e136de36d136cf36,1e00ecffd6ffd6ff2800eaff26000600feff0c000000200010000000fefffeff,2a4368036931e8029620aa04d4105d11173716379936973607370737de36e336
25,25,0,ecfffcffecff0e000e000e000800f8fff6ff18000200f0ff0600e4fff8ff1800,d436d23600400040ad36ae369b369c36de36dd3654385738e036df36d036cf36,0e00fcfff6ffe6ff2800fafff6ff0600eeff1c00f0fff0ffdeff1000eeffdeff,8f42cd6a65544869185b9364a368d054163716379836983605370637de36df36
26,26,0,ecff0e00ecff0e00ecff0e001800f8fff6fff6fff0fff0fff4ffe4fff8fff8ff,d236d33600400040ad36ac369d369d36dd36dc3657385638de36df36d136ce36,0e000e00e6ffe6ffdaff08000600f6ffeefffeff0000200000000000feff0e00,17232d0346139a071105e516a70268281537163799369a3607370737df36de36
27,27,0,ecffecffecffecff1e00fcfff8fff8ff18001800f0fff0fff4fff4ff08000800,d136d13600400040aa36ac369c369c36dd36dc3630385738de36de36cf36d136,0e002e00f6fff6ff0800280026000600feff1c00e0fff0ff10001000feff0e00,ea60936653675b57986aa8465b6ad234183714379a36993607370537de36de36
28,28,0,ecffccfffcffecff0e00fcff0800e8ff1800e6fff0ff1200f4fff4fff8fff8ff,d236d2365f365e36aa36ac369b369d36de36de3655385738e036df36d136d236,ecff0e000800e6ff2800faff06000600defffeff10000000deff0000fefffeff,d606a7144d034a25dc02d8366a06a348153716379736993608370637df36de36
29,29,0,ecff0e001e00ecff0e00fcff0800f8fff6ff080012000200f4ffe4ff18000800,d236d2365e365e36ac36ac369c369d36dd36dd3656385838df36e036d036d136,0e001e00f6ff0800eaff1800e6ff0600eeffeeff000010000000defffeff0e00,2c692c49dd6aa23852686c26565a1a15163715379936983607370837e036e036
30,30,0,ecff0e00fcff0e00fcff0e000800f8ff180018000200f0fff4ffe4ff18000800,d236d23600405f36aa36ab369c369e36de36de3656385638dd36e136d136d136,0e00ecff0800c4ffeaff18001600f6ffdeffdeffe0ff00000000eeffeeffeeff,d1023033f00462468d09a156641a1c651637163797369b3606370437e036de36
31,31,0,0e00fcffdcfffcff1e000e00080008000800f6ffe0ff0200f4ffd4fff8ff0800,d036d43600405f36ad36a836a0369e36de36df3655385538de36df36d236d036,fcff0e00e6ff0800faffeaff06001600eeffeeff100000002000eefffeffdeff,e3681929a964a318a354cc08e84258041537143797369a3606370937df36df36
32,32,0,0e001e000e001e00fcff0e00f8fff8ff08001800f0fff0ff0600f4ffe8fff8ff,d336d1365b360040ad36ac369f369e36dd36dd3655385438df36de36d236d236,0e000e00f6ffe6ff0800eaff0600f6ff0c00c0ffd0ff000000002000eeffeeff,931058535617625c9d28d3689642a36a163715379836973606370737df36dd36
33,33,0,0e001e00ecff0e000e000e00e8fff8fff6ff1800f0fff0fff4ff0600d8fff8ff,d236d2365e365f36aa36ae369c369b36dd36df3656385538de36df36d136d036,0e000e00e6fff6ffdaff080006000600eeffd0ffd0fff0ff00001000feff0e00,1457dc12d6464b05a234ab02d61a4d04143717379a36993606370537e036df36
34,34,0,dcfffcffecffecff0e001e001800f8fff6ff1800e0ff12001600160018001800,d136d1365e360040b036aa36a0369c36dd36dd3656385638e036de36d136cf36,1e00fcffb4fff6fffaff1800460026000c00eeff0000e0ff00000000feff0e00,1e251b674a37b26ad7485969125a5e66143715379936983607370737e136df36
35,35,0,fcff0e000e00ecff0e001e000800e8ff0800080002000200f4fff4ff1800f8ff,d436d1365e365e36ab36ad36a0369c36dc36db3655385538df36df36d036d136,ecff0e00f6ffe6ffeaffeaff16002600feffeeff00000000eeff10001e00feff,5637ee029a261e030d159706a606cd14173716379936973607370837df36df36
36,36,0,ecff1e00fcfffcfffcff0e00f8fff8ff08001800f0ff0200e4ffe4ff08000800,d236d23600400040a936aa369f369f36de36de3656385638de36df36d036cf36,fcff0e00f6ffb4fffaffeaff06001600deffeeff0000f0ffeeff10000e000e00,5a469e6a1457656752662b59526a164a143715379a36973607370737df36df36
37,37,0,1e00fcfffcfffcff0e000e00f8fff8ff080008001200e0ff1600160008000800,d036d23600400040ab36ac369e369d36dd36dd3657385538de36de36d436d236,fcff0e00d6ffe6ff1800faff1600f6ffdeffc0fff0ff100010000000feff0e00,5c17df04da08dd1256049822a5025734153714379736993607370637e036e036
38,38,0,ecffecff0e00fcff0e001e00d8fff8ff180008001200f0fff4ff1600f8ff0800,d436d23600405c36aa36ad369f369f36df36df3630385438de36df36d136d136,0e00ecfff6ff1800faffeafff6ffe6fffeff2a0000000000deff1000feffeeff,576362641669b254a86adc3ad868df28163715379836993606370837e136df36
39,39,0,0e00fcffecff0e00dcfffcff08000800f6ff1800020002000600e4fff8fff8ff,d336d33600400040ad36ae369e369b36de36df3658385738de36df36d036d136,fcffecfff6ffd6ff28001800f6ff1600c0ffc0ffe0ffe0ff0000ceff0e000e00,e5042917ea0214295504a83a93105e54163715379b369a3607370737df36df36
40,40,0,dcfffcff1e00fcfffcff3000e8fff8ff180008000200020006000600f8fff8ff,d236d4365c360040ad36a9369b369c36dc36dd3655385538df36df36d136d236,2e00fcff18000800fafffaff06003600eeff0c001000f0ff00001000eeff0e00,9c6a8d46976aaf345966a722dd56a212173714379836993605370637df36de36
41,41,0,0e00ecfffcff0e000e00fcfff8fff8ffe6ff2800f0fff0ff1600f4fff8ff0800,d236d43600400040a736ab369c369c36df36de3657385638e036df36cf36d036,0e000e000800d6fffafffaff060006001c0084ff20000000eeff0000eefffeff,e7022237de064c51e014205947251c671537153798369a3607370437df36e036
42,42,0,fcff1e00fcff0e000e00fcffe8ff080008000800f0ffe0fff4ff060008000800,d436d0365b360040ae36ac369f369c36de36de3656385738de36df36cf36d236,fcff1e00d6ff0800fafffafff6ff1600fefffeff1000f0ff0000deff0e000e00,226752265f5a1f150b499f061b40e002153714379a369a3606370737e136e036
43,43,0,fcfffcff0e00ecff0e001e000800f8ff0800180012000200f4fff4ff0800f8ff,d136d43600400040ad36ad369f369c36dc36de3657385638df36df36d036d136,0e002e000800f6ffcaffdafff6ff1600eeffc0ff0000200010000000feff1e00,ce12e256e61a96666d3456695e46956a143716379736993607370737e036dd36
44,44,0,0e00fcfffcfffcff0e00fcffe8ffe8ff080018000200120006000600e8ff0800,d136d2365d365f36ad36ac369c36a036de36de3656385538e036df36d036cf36,1e00fcffe6fff6ffcaff0800f6ffe6ffdeffdeff00002000deffeeff0e000e00,6a549f10eb429204d428aa022217de04163713379636983606370737df36de36
45,45,0,fcffdcfffcfffcff0e003000f8ff0800080008000200e0ff0600e4ffd8fff8ff,d236d1365c360040ac36aa369f369c36de36de3655385538dd36df36d336d036,fcff1e0008000800faff0800f6ff0600deffdeff10001000000000000e00feff,e428de681e43e66a9354d56858644f64163715379a36993609370737e036dd36
46,46,0,1e000e00ecffecff0e000e00e8ff08000800080002000200f4fff4ffe8fff8ff,d336d2365d360040ac36ab369e369f36db36de3655385838de36df36d136d036,ecff0e0028001800faff0800e6ff06000c00feff100010000000deff0e00feff,6333d202d71a9704980a9d08d50453181637153797369a3607370737de36df36
47,47,0,ecfffcff0e000e001e00fcff0800e8ffe6ff0800f0ffe0ffe4ff0600e8ff0800,d436d23600405f36ae36ac369f369f36dd36dd3653385638de36e036cf36d036,0e00fcff28001800fafffafff6fff6ffb0ffdeff0000000000003000fefffeff,1e4955698b5a91662767d256986a52461537153798369a3607370937de36dd36
48,48,0,0e00fcffdcfffcff0e00ecffe8fff8fff6ff0800f0ff0200e4ff060018000800,d236d33662365b36aa36a9369f369d36de36e03656385638df36de36d036d236,1e002e000800f6ffdaffdafff6ff0600defffeff10000000deff00000e00feff,d714cf06d6064e15e0025825e2024d40173717379836993607370737de36df36
49,49,0,dcfffcffecfffcff3000fcff0800f8ff18000800f0ff020006001600f8ff0800,d236d43600405e36ac36aa369e369c36dd36df3656385638de36df36d136cf36,0e00ecffc4ff18000800080006000600eefffefff0ff1000eeffdeff2e00feff,66661c619a6a1a51996a0b3715671625163714379836993605370737df36e136
50,50,0,0e00ecff0e00fcff0e00ecff0800f8ff28000800e0fff0ff0600f4ff0800f8ff,d436d1365e365f36aa36ac369c369d36dc36dc3655385838de36e036d136d036,0e001e00e6ff180028000800f6ff06003a00feff0000e0ff0000defffefffeff,5503e222eb02e034e7049746d112e856153715379a369a3607370637df36e136
51,51,0,fcffecfffcff0e00fcfffcfff8ff080018000800f0ffe0ff0600d4ffe8ff0800,d436d4365d360040ac36aa369e369e36de36dd3656385538df36de36d036d136,fcffecff1800f6ff1800fafff6ff1600feff1c00f0ffe0ff1000deff0e000e00,cc6aa042eb68dd2825641617544b62081537153799369b3606370337e136df36
52,52,0,fcff1e00fcffdcfffcfffcffd8ff080018001800f0fff0fff4fff4ff08002800,d436d2365d366136aa36aa369c369c36dd36dd3654385238df36e036d036d036,1e00fcffc4ffd6fffaffeaff060006001c00eefff0fff0ff000020001e00feff,6403f042e508e45463206964ed30dd68163716379936983606370837e036df36
53,53,0,ecff0e00ecff0e00dcfffcfff8ffe8ff1800180002000200f4ff0600e8ff0800,d136d43660365b36ac36ac369d369c36df36de3654385438e036dd36ce36d136,2e002e000800e6ff0800caff26002600fefffeff20001000000000000e000e00,48669221e456ad122045d1044834a402153716379a36993607370537df36dc36
54,54,0,0e00fcfffcfffcfffcfffcff0800e8ff08000800e0fff0fff4ff06000800f8ff,d136d23660365e36ad36ac369e369e36dc36dd3657385638df36df36cf36cf36,0e0058ff0800e6fffaffeaff06001600deffeeff2000f0ff1000deff0e001e00,1e156061aa2693686138a16a474a496a1637163799369a3607370737e036dd36
55,55,0,ecffecfffcff0e00ecff0e00e8fff8ff0800f6ff02000200e4ff0600e8ff1800,d336d1365b360040ae36ac369d369c36dc36dc3655385638df36df36d136d036,2e004000e6ff1800daff08000600f6ffc0ffeeff10000000000010000e00feff,cd48920615371d030b25e6029e14ce061537133798369a3606370537df36e036
56,56,0,fcfffcfffcff0e000e00fcffd8ffe8ff0800f6fff0fff0ff1600e4ff0800f8ff,d536d1365e365d36ac36ac369e369e36dc36db3655385738df36df36cf36d236,0e002e00e6ff1800faffeaffe6ff0600b0ff0c0010000000000000001e00feff,d734606ae846b06a1f5711676866e258143716379936993608370737e036e036
57,57,0,0e00ecff0e000e0030000e00c8ffe8ff080008001200f0ff160006002800d8ff,d236d4365e365f36aa36aa369e369c36de36dd3656385338e236e036d036d236,0e00ecffe6ffc4fffaffeaff1600f6ffdefffeff0000000000000000fefffeff,9228d3024c1752055c07e1124804e61a1737163799369a3606370937df36df36
58,58,0,dcffecfffcfffcfffcff0e00f8fff8ff0800e6fff0ff1200d4fff4ff08000800,d336d2365d360040ab36ac369f369c36db36dd3657385538df36e036d236d236,fcff0e00f6ff18002800faff36000600c0ffdefff0ff00000000deffeeff1e00,d554cd68b064555be5682454a46a6141163714379736973608370637e036e036
59,59,0,fcfffcff0e00fcff0e000e00f8ffd8ffe6ff180002002400f4ffe4ff1800f8ff,d536d1365f365e36ab36ac369e369e36dc36dd3652385538de36de36d036d236,fcfffcfff6ffe6fffaffeaff16000600d0ffd0ff1000f0ff10000000eeff0e00,6711de10ef04b018a70223295f041d44143715379836963608370737e036de36
60,60,0,0e00ecff1e00ecffecff1e00e8fff8ff0800e6ff1200f0fff4ffd4ff1800f8ff,d236d3365e365e36a936ab369e369e36de36dd3655385638de36e036d036d136,0e001e00080018000800080046001600fefffeff1000100020002000feffeeff,5e689b56de6a5645286918331765581a1a3718379a369a3607370737df36e036
61,61,0,ecfffcfffcffecfffcff0e00f8ffd8ff18000800e0ffe0ff060006000800e8ff,d136d1365d360040ac36aa36a0369e36de36dc3654385438df36de36d136d136,0e00fcffe6ff08000800280026001600eeffdeff2000000020000000eeff1e00,e1029f265003ae38d9065a494815635a1537173796369a3606370637e036e336
62,62,0,0e00fcff0e00ecffdcff1e00f8ff1800f6ff0800f0ffe0fff4ffe4fff8ff1800,d336d2365f365d36ab36ae369d36a036de36dd3654385538df36e036d036d136,1e000e00e6fff6ff0800faff26004600eeff0c00f0ff000000001000deff0e00,986ad03648671825d858951493485e06173718379936983607370637e036e136
63,63,0,0e00fcffbcffccffecffdcff1800f8ff080018000200f0ffe4fff4ff0800c8ff,d236d3365e365f36ac36aa369f369e36dd36db3656382f38de36e036d036d036,0e00fcffe6ffe6ff08002800060016000c00eeff2000f0ff0000eeff0e000e00,1e05dd465313675719239566df345e6a143716379836983607370637df36e036
64,64,0,0e001e00fcfffcff1e00fcffe8fff8ff18000800cefff0ff0600e4ff08001800,d336d2365e360040ae36ad369f369f36df36de3656385438e036e036d036d136,fcff0e00e6ff18003800caff160006003a00feffe0fff0ff0000deffeeff1e00,f162de1656536c07573922035a28a802143716379a36983608370637de36de36
65,65,0,0e00ecffdcfffcfffcffecffd8ff080028002800020002000600e4ff18000800,d436d1365e360040ab36ae369e369e36dc36dd3655385638dc36df36ce36d036,dcffecfff6fff6ffeaffeaffe6ff2600feffeefff0ff00001000eeff0e001e00,a818a46497314f6a2e3ba86adb549e681737163799369b3605370537de36de36
66,66,0,fcff1e00ecffdcffcafffcffe8fff8fff6ff0800e0fff0ffd4ffe4ff08000800,d236d1365e360040ad36ac369b369d36db36de3655385338df36df36d036d136,1e00ecfff6fff6ff0800faff06002600deffeeff30000000100000000e000e00,e544cd044c33e7024c2269045211dd101437163799369b3608370637e036e036
67,67,0,0e000e000e00ecffecffcafff8fff8ff0800f6ff1200f0ffe4ffe4ff18003800,d236d23600400040ac36ab369f369d36dc36dd3655385538dd36df36ce36d236,1e000e00e6fff6ff08000800f6ff0600c0ffeeffe0ff1000eeffeeffeefffeff,cc38a56aab52626a955a10655a686056153716379836973607370737de36df36
68,68,0,ecff0e00fcff0e00ecffdcffe8ffc8ff18000800f0ff02000600f4ff18000800,d236d33660365f36ae36af369e369d36de36df3656385638e036de36d136d136,0e00ecff08001800eaff180006000600feffeeff000010000000deffeefffeff,cf241503a91447075b055415d702a626163716379836983607370637de36de36
69,69,0,0e00ecff1e00fcfffcffecffe8ffd8ff0800f6ffe0ff02001600f4ffe8fff8ff,d236d23661365e36ad36ae369b369f36dc36dd3655385538e036e136d136d136,1e001e000800f6fffafffaff1600f6fffefffeff0000000000000000fefffeff,5d58e066e166e958676a6748696a9236153715379936973607370737e136df36
70,70,0,ecff0e001e000e00fcffecff0800f8ff08001800e0ff12003600160008001800,d236d23600405e36ac36aa369e369d36de36dd3655385438df36df36d336d036,fcff1e000800080008000800060016000c00feff1000100000001000eeff0e00,2c07211360039024d20216351e05e646153716379736993607370737df36df36
71,71,0,dcff1e000e000e001e00ecff0800e8fff6fff6fff0ff02000600f4ff38001800,d136d5365e365b36a936ac369f369d36dd36de3654385638e236df36d036d136,0e001e00d6ff0800faffeaff06001600c0ffdeff1000000010002000ceffeeff,1969eb52e06a613a9d682a27dd5aa816143714379836993607370837e036e036
72,72,0,dcff0e00ecfffcfffcff0e00f8fff8ff0800080002000200f4ff0600d8fff8ff,d136d13659360040ac36ae369e369e36dc36dd3654385538e036e036d236d136,1e000e00f6fff6ff08000800f6ff06001c00eeff0000f0ff100020000e000e00,ce028e2aad04a64409091155d218a664153716379836983605370637e036df36
73,73,0,fcffdcffecff0e00fcff0e0044000800e6ff08000200e0ff1600060018000800,d436d23600400040a836ab369f369e36dd36de3654385438de36df36d136d136,ecff0e00f6ff0800faff280006000600fefffeff1000f0ff2000deff0e00feff,2169dd324865591a5a562709cf449b04153716379936963605370637e136e136
74,74,0,ecffecff0e00dcff0e0030000800e8ffe6ff0800f0ffe0ff0600f4ff18001800,d236d23600400040a936a9369e369f36de36de3654385438e036df36d236d236,fcff0e001800d6ff1800380006000600feff0c0010001000000000001e000e00,1507a24aa516df5add266768d2409f6a1637163798369b3608370637df36df36
75,75,0,ecfffcfffcfffcfffcff30000800f8fff6ffe6fff0ff0200f4ff06000800f8ff,d536d33600400040ad36ab369f369f36df36df3654385538de36e036d336ce36,ecfffcfff6fff6ff3800080006001600feffdeff2000000000002000eefffeff,a3586113974895066436d50293241303173717379936983605370737e136e136
76,76,0,ecffecff0e001e000e00300018000800f6fff6fff0ff1200e4ff06000800f8ff,d436d1365b360040ac36ad369c369d36df36de3654385638de36de36cf36d036,fcffecfff6ffe6ff1800faff06000600a2fffefff0ff00000000deff0e000e00,6223cf666736a86a18478f6a6558d3661637173798369a3606370637e036df36
77,77,0,0e000e000e001e00fcfffcfff8fff8fff6ff0800f0fff0ffd4ff060008001800,d436d23600400040ad36ac369e369f36dd36de3656385538df36df36d036d036,dcff1e00f6ffe6fffaff08000600f6ffdeffb0fff0ffd0ff20001000eeff1e00,1a3920035a27ef029b1626051b074514163714379a369a3605370737df36e036
78,78,0,0e00fcff0e001e00caff0e00e8ff08001800f6fff0fff0ff0600f4ff08000800,d536d23660360040a936aa369e369d36dc36dd3657385538de36dd36d136d236,1e00ecfff6ffc4ffeaffeaff26000600c0ffd0ffe0fff0ff0000defffeff2e00,9d44cc6a6256b068d564d25a146ad04a183715379836983604370537e036df36
79,79,0,fcff0e000e00ecff1e00ecffe8fff8ff180028000200e0ffe4fff4ff08001800,d136d03600400040ac36ad369f369f36dd36dc3657385538e136de36cf36d136,fcff1e00e6ffe6ff0800080036001600a2ff0c00d0fff0ff0000eeff1e002e00,ed189b045f1155099904e220a3029332153717379a36993605370737dd36e036
80,80,0,ecff1e000e00ecffecff0e00f8fff8ff1800f6ff12000200e4ffd4ff08000800,d136d23600400040aa36ad369d369d36de36dd3654385438e136df36d036d136,1e000e001800f6ff0800faff0600f6fffeffdeff10000000000000000e001e00,d662df64ab688c56a56a9d44166aa032143716379936993606370737de36de36
81,81,0,ecfffcff1e000e00dcffecffd8ff080018002800f0ff0200d4fff4ffe8fff8ff,d436d4365a360040ad36ac369f369f36dc36de3654385338df36df36d036d136,0e001e001800f6fffaff280006000600eefffefff0fff0ff000000000e00feff,2e059b16160352271a03e6381607a84a1437153799369a3607370637df36df36
82,82,0,1e000e001e00fcfffcffecffd8ffc8fff6fff6fff0ff12000600e4fff8ff0800,d336d03600400040ac36ad369e369e36dd36de3655385238e036e236d036cf36,1e000e00f6ff1800eaff1800d6ff0600deffeeff10000000deff0000feff0e00,916a2747a86a9036ce66642469584a141637163798369a3607370937df36de36
83,83,0,ccffecfffcfffcff0e00ecffe8ffe8fff6ff0800f0fff0fff4fff4ff1800f8ff,d436d33600405a36ac36a9369f369f36dd36dd3655385438df36df36d136d036,0e000e00d6fff6ff280008001600f6ffb0ffd0ff30001000eeffceff1e00feff,da02603695066a47541497586b24cf66143716379636993607370937e036e136
84,84,0,0e00fcff0e00ecfffcff3000f8fff8fff6fff6ff02000200160016000800f8ff,d036d13600405c36ad36ac369d369f36dc36dd3654385538de36e036d136d236,fcff1e00f6ff08002800faff26000600c0ffb0ff2000000020000000fefffeff,9268ed26e55aab16a6521407dc401503153715379736973608370737df36e236
85,85,0,dcfffcfffcff0e000e00ecff1800d8ff08000800e0ff120006003600f8ff0800,d336d23600405d36ac36ae369e369e36dc36de3654385438e036de36d236d136,ecfffcfff6fff6ffeafffaffe6ff0600deffeeff2000000010000000eefffeff,2811545651191f65ce321f69a0449f6a143716379636983607370737e236e036
86,86,0,dcfffcfffcffecfffcffecff08001800f6ff08001200020006000600f8ffe8ff,d236d3365e360040aa36ac36a1369c36dd36de3655385538df36de36ce36cf36,fcff0e000800e6ff480008002600f6fffeffdefff0ff0000eeff0000eefffeff,20551b11ac44ad049332a502db189a04163715379836993606370737e036e036
87,87,0,0e000e00fcfffcff0e000e00e8ffe8fff6fff6ff02001200e4ff0600f8fff8ff,d336d43600405d36ac36ab369f369e36dd36dd3655385538df36e236d236d136,fcffecfff6fff6ff1800eaff0600f6fffeffdeff0000100020002000feff0e00,26279a68573ae16ad9521469d85ace64183716379b36993606370637e136e136
88,88,0,ecff0e00ccfffcff0e00fcff4400f8fff6fff6fff0ff1200e4ff06000800f8ff,d436d13659360040ac36ab369c369e36de36dd362f385538df36de36d036d036,0e000e000800080008000800e6ff16000c003a000000100010000000eefffeff,2735da0297245e032013210720059f16173718379836993606370537e036df36
