Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,020012001200f0fff2ff1000f4ffd4ff06000600360084ffe6fff6ffd8ffd8ff,00001000f6ff1800f2fff2fffafffafff6ff1800e6ffe6fff2ff0400e6ff0600,e136e436d736d736e536e836d236d2369306ac266e68a744dd0822446157d01a,db36dd361c371a37e436e33610370e378e368b361f371f370e370f37e436e136
1,1,0,2200f0ff020002001000f2ff1400f4fff4fff4ff2800eafff6ff1800d8ff0800,eeff0000080018003400f2ffeaffdaffc4ffe6fff6ff180014001400f6ff0600,e236df36d736d736e936e636af36d2365f649628e114274a6952e714e5347566,db36d7361a371a37e336e2360f3710378c368d361e371d370d371037e236e436
2,2,0,e0ff020002000200f2ff2e00e4ff1400f4fff4ff080036001800f6ffd8fff8ff,20000000f6fff6fff2ffd2fffaffdaff1800f6ffe6ffe6ff140024002600d6ff,e236e236d736d436e836ea36b036af369e26d762b0443f12ea422f68d81ae606,db36db361a371b37e536e33610370e378e368e361e371c3710370e37e236e336
3,3,0,f0ff0200020022002000e2ffd4ffe4ff0600f4ff08002800180018001800e8ff,eeffdeff0800f6fff2ff04000a00eaff18001800e6fff6ff040014000600f6ff,e436e136da36d836e736e736d136d3369f2893061a496e681316dd0873666a58,da36d8361b371a37e436e136133710378c368c361b371e370e370d37e336e136
4,4,0,0200d0fff0ff12001000f2fff4fff4ff1600f4ff92ff080008000800f8ff0800,1000eeff08000800e2ffe2ff0a00eaff08001800180008000400f2fff6ff2600,e536e336d836d736eb36e736af36ae36d16266646512d9142c686e52e306d934,dc36dd3617371a37e436e2360f370f378e368d361f371f370e370e37e336e336
5,5,0,02001200f0ff0200e2ff0000f4ffe4ff1600060008002800f6ff0800e8ffe8ff,000020000800caffe2ff0400faff0a0008000800f6ff0800f2ff04001600e6ff,e236e336d936d436e436ea36af36ae36920697266f68e244d508e7427158de1a,dc36dc361a371937e436e1361037ea368e368d361d371c370e371037e436e236
6,6,0,220002000200020010001000040004000600160008001800d6fff6ffd8ff2800,eeff10001800080004001400eaffeaff0800f6ff08000800e2ff040016000600,e336e036d736d936e736e836af36d3368f64da30af14ec48a2521c16ac346c66,db36d9361a371c37e536e2360f370f378c368c361d371d3710370f37e336e436
7,7,0,f0fff0fff0ff020000001000c4ffe4fff4fff4ff1800faff2800f6ffd8ff1800,eeff000008001800e2fff2ff1a00eafff6ffe6fff6ff1800f2ff1400e6ffe6ff,e336e536d736d436ea36eb36ae36af366826a662e9446d12db3a2f68ea1ae106,db36dc361b371b37e436e5360e37ea368e368c361b371c370f371037e436e336
8,8,0,0200f0ff0200020020000000f4ffe4fff4fff4ff28001800f6fff6ff08001800,eeff000018001800040014001a001a00180018001800f6ff0400040016000600,e136e336d936d936e636e536d436d236e2309406e4486e682716d2086b669c58,db36db361a371b37e436e236103711378b368e361b371b370e370c37e336e436
9,9,0,02000200e0fff0ff0000f2ff14001400f4fff4ff080008000800080008001800,0000eefff6ff0800f2fff2ff1a000a0008001800f6ff08001400e2ff06001600,e036e536d936d836e936e836af36d2369e6297649612a9142c68a652db06a134,dc36dc361a371a37e436e5360e370f378c368d361d371e370e370e37e236e136
10,10,0,1200f0ff1200e0ffe2ff0000f4ffe4ff06000600a2ff84ff1800f6ff28000800,00000000caffbafff2ffe2fffaff0a00e6fff6ff18000800f2fff2ff0600f6ff,df36e336d936d736e736eb36af36ad3695065e269468f244aa08aa3aa658f21a,da36dc361c371a37e036e3360e37ea368e368b361b371e370d370e37e336e336
11,11,0,1200120002000200e2ff20000400f4fff4ff160084fffaff0800f6ffd8ffd8ff,300000002a000800d2ffe2ff0a00eaff1800e6ff0800f6fff2fff2ff06000600,e336e236d736d736e736e636ae36d23699641432a314d948ae522b1673346266,db36db361a371c37e536e5360f3710378c368d361d371c370f370e37e436e536
12,12,0,220022000200e0ff100010003400f4ff16000600faffa2fff6ff0800f8ff0800,000020000800f6ffd2ff0400faffeaffd4ff18000800f6ff04000400f6ff1600,e036e536d636d636e736ea36d236af365a26966222459b12973a2b682c23d906,db36dc361c371937e536e3360e370e378c368d361e371f370d370e37e136e236
13,13,0,220012002200220000000000f4fff4ff1600f4ff180008001800f6ffe8ffe8ff,ceff00000800f6fff2ffe2ff0a00eaffe6ff1800280018000400040026001600,e336e236d636d836e536e836d536d3361d329606aa4895683016a6085c66cf58,da36da3619371c37e436e33612370e378c368a361e3720370d370e37e336e336
14,14,0,02000200e0ff12000000f2fff4fff4ffd4ff06002800180008001800f8ffa8ff,eeff000008001800f2ff2400eaffeafff6fff6ffe6ff080024002400e6ff2600,e136e536d736d636e836e736ae36d23692629d649f129c144767e352d7066334,dc36db3619371b37e436e3360e370e378e368b361c371d370e370f37e236e236
15,15,0,12001200e0ff02002e001000e4ff0400e4fff4ff0800faff1800080028000800,deffeefff6fff6ff04000400faff1a0008000800180008002400140016001600,e236e436da36d936e736e936d336ab3696064e2696682c45a208923ad9585123,da36db361a371c37e436e336103710378d368d361d371d370f371137e436e036
16,16,0,020012000200020010003e00240004000600060028001800f6ff18001800e8ff,00000000cafff6fff2ffe2ff1a000a0008000800f6ffe6ff140034001600e6ff,e736e036d636d736e836e636d236d236a2644e326d13a2481b5360165b345a66,db36db361a371b37e336e43610370e378d368e361d371c370f370f37e336e136
17,17,0,f0ff02000200020010000000e4ff1400060016000800faffe6fff6fff8ff4800,10001000baff1800e2ffe2ffeafffafff6ff08001800f6ff0400f2ffe6ffe6ff,e136e336d836d536ea36e836af36ad36202665623646a712683a24675923d706,db36db361c371b37e236e5360f370f378c368c361c371d370e370d37e336e536
18,18,0,22002200020002002e00f2ff1400f4ff16001600180028001800f6ffd8ff0800,0000eefff6ff1800f2ffe2ffeafffafff6ff0800080028000400140016001600,e236df36d836d736e736e836d436d33654329706974896686d169b083466df58,d936da361b371c37e636e43611370e378d368e361c371e370e370e37e236e336
19,19,0,020022002200220000001000d4fff4ffe4fff4ff0800fafff6ffe6ffd8fff8ff,eeff1000f6fff6fff2fff2ff0a000a00f6ff0800f6ffe6ff1400e2fff6ff0600,e436e336d536d536ec36e836ae36d4365d62aa64ae1266131f671953d5065533,db36dc361c371d37e236e4360e3710378d368e361c371e370f370f37e336e236
20,20,0,f0ff1200020012002e002e0004000400f4ff0600faff280008001800f8ffb8ff,00001000f6ff0800f2fff2ff1a00eaffe6ffe6ff1800f6ff040024001600f6ff,e136e036d936d836e536e736d336b036980610259568644691085e3ae7586624,db36dd361c371a37e536e4360e3710378c368b361b371e3711370f37e436e536
21,21,0,f0ff2200120002001000000004000400f4ff160028001800f6ff0800f8fff8ff,deff0000180008003400e2ff0a00fafff6ff08000800f6ff0400040006002600,e536e336d836da36e936e536ae36d336d4645e325f136b481d5396161f335465,da36da361b371a37e436e3360f3710378d368c361d371f370f370f37e436e536
22,22,0,f0ff0200120002001000f2fff4ff04002600160074ff280018001800f8ff0800,20000000f6fff6ffe2ff14001a00faff0800f6fff6ff18000400140006001600,e436e336d536d636eb36eb36d336ad36e12457629546b112273a20676e24d306,db36dc361b371a37e236e5360e37ea368d368d361b371b370d370e37e336e336
23,23,0,020022002200020000001000e4fff4ff1600f4ff2800faff1800f6ff0800f8ff,0000100008000800f2ff1400fafffaffd4ff0800e6ff1800f2fff2ff06002600,e336df36da36da36e636e636d236d2368f329a0637489568981690082565f358,dc36da361b371d37e236e6360f370f378c368d361c371b370d370e37e336e436
24,24,0,1200e0ff0200220010000000e4fff4ff0600f4fffaff080008001800f8ff0800,20000000f6ff1800f2ff04000a001a00f6ff1800f6fff6ff040014000600d6ff,e436e336d336d736eb36e936ad36d2365162d864e01258131b672954d606f132,db36db361c371a37e336e3360f370e378c368d361e371e370e371037e136e236
25,25,0,120002000200020010000000e4ff1400f4fff4ff18000800f6ff1800c8fff8ff,000000001800bafff2ffe2ffeafffafff6ffd4ff18000800e2fff2ff0600f6ff,e136e136d736d736e636e836d236af369806d82497689e466c081f391d599d24,db36dc361b371b37e336e43611370e378e368d361e371d370e370d37e236e036
26,26,0,120002001200120010002000f4ffe4fff4ff1600faff0800f6ff1800e8ffd8ff,10001000080018002400f2ffdaff0a00e6ffe6fff6fff6fff2ff04000600f6ff,e536e136d736d936e736e736ad36d236dc6499322e132e485e54a216e9322165,dd36da361a371b37e436e13610370f378d368e361b371d3710371037e436e336
27,27,0,120022000200f0ff10001000f4ff04001600060018001800f6ff0800f8fff8ff,eeffeefff6ff1800e2ffe2ff0a00eaff0800f6fff6ffe6ff0400e2ff1600f6ff,e136e336d636d936e736eb36ae36af36d2244a62a846e3121c391c67a524ad06,db36dc361b371b37e536e4360e370e378c368d361d371e370f370e37e236e436
28,28,0,120002002200120010000000f4fff4ff1600060018002800f6ff0800f8ffe8ff,deffdeff180008000400e2ff2a000a00e6fff6ff08000800140014001600f6ff,e536e036d736da36e636e736d436ae36a23299062f489868ad16670820652159,dc36dc361b371c37e236e2360f370f378c368c361c371d370d370e37e536e336
29,29,0,220012001200e0ff20002000140014000600f4ff180028001800f6ffe8fff8ff,200000000800180014001400faff0a000800e6ff0800e6ffe2ff240006001600,e536e536d836d536eb36e736ad36d3361d62e064e7122e1319675d54ac06d82a,dc36db361c371a37e636e5360f370f378c368d361c371c370e370f37df36e236
30,30,0,22001200f0ff220000003e0004000400f4fff4ff080008000800f6ffd8ffe8ff,eeffeeff18000800f2fff2fffaffdaffe6fff6fff6ff08000400f2ff16002600,e136df36d836d836e536e936d336af369b06a6249768b0465d080f392559ad24,d936dc361c371b37e236e1360f3710378b368c361d371d370f370e37e236e236
31,31,0,0200f0ff0200120020003e00d4fff4ff060006005400faff18000800c8ff0800,0000ceff180018001400f2fffaff0a00e6ffd4fff6ff08002400f2ff16000600,e536e336d736d736e836e636d236d436e664ab3221131b476a54d416d32af664,dc36da361a371b37e236e2360e37e9368c368f361d371c370f370f37e136e236
32,32,0,120012000200120020002000e4ff0400d4fff4fffaff080008000800d8ffe8ff,1000eefff6ff1800e2fff2fffafffaff0800d4ffe6fff6ff040004001600d6ff,e036e636d636d336eb36e836ae36ae369b241962de46ed12d6381567db24cf06,dc36da3619371a37e336e4360f370f378e368c361d3720370f370f37e236e136
33,33,0,440022000200020000000000c4ffe4ff0600f4ff08002800080018002800e8ff,2000deff3a00e6ffd2fff2ff0a001a00e6ffd4fff6fff6ff0400f2ff26001600,e336df36d936da36e836e936d236d436dd329f06ee469568d8165907f2645359,da36dc3619371c37e536e13611370e378c368c361e371c370f370f37e336e236
34,34,0,02000200f0ff1200f2fff2ffe4ffd4ff0600160074ff1800e6ffe6ffe8fff8ff,10000000baff18001400d2ff1a00eaff08001800f6ff080004001400f6ff0600,e236e136d536d736ea36e936ad36d3360e62106517131c130f679654aa069f2a,dc36db361a371b37e536e436113710378c368d361d371c370e370e37e036e236
35,35,0,2200f0ff12000200d4fff2ff1400e4ff1600f4ff0800faffe6fff6ff1800d8ff,deff000018000800d2ffe2ffeafffafff6ff18001800f6ff0400f2ffe6ff0600,e136e336d836d736e736ea36d236ae369f068f249668eb465b08d1385959e524,d936dc361c371b37e436e3361037e9368b368d361f371b370d370f37e236e336
36,36,0,020022000200f0ff1000f2ff0400f4fff4fff4fffaff92fff6ffe6ffa8ffd8ff,2000defff6ff18003400e2ff0a000a000800180008000800f2ff0400e6ffe6ff,e236e336d536da36e836e836d236d1361365e232f112e446a754e816742aea64,db36dc361b371b37e536e4360e370f378d368c361b371d370f371037e536e336
37,37,0,02001200f0fff0ff2e00100004000400f4ff16000800fafff6ffe6ff0800e8ff,eeff000008001800f2ff2400eaffeaff2a0008000800f6ff0400f2fff6ff0600,e336e536d836d636eb36e836af36af3665240e621a471f13a6381167f224a906,db36db3619371b37e536e4360d370e378d368c361c371d370f371037e436e436
38,38,0,0200e0fff0ffe0ff2000000004000400f4ffe4fffaff36000800d6ffe8ffc8ff,deffeefff6ff08000400f2ff0a000a000800080018001800f2ff1400e6ffe6ff,e336e136da36da36e736e636d236ad3611339f06d646986819175407e664635a,dd36da361a371a37e336e33610370f378d368d361c371e370f370e37e336e336
39,39,0,0200f0ff020002003e0000000400f4ffe4fff4ffeaffeaffd6fff6ffe8ffd8ff,deffeeffcaff08001400f2ff3a001a00e6fff6ffe6fff6ff04001400e6fff6ff,e436e336d436d636eb36e736ac36d23604621e662913e812ea66ab54a706682a,dc36dc361a371b37e336e4360e3710378c368d361b371c370e370f37e236e536
40,40,0,02001200020012000000f2ff1400e4ff0600e4ff08001800f6ffe6ffb8ffd8ff,00001000f6ff0800f2ffd2fffaffeaff1800f6ff080008001400240006000600,e036e436d936d836e736e836d336af36a4065824976822474e079a386f5a2225,db36dd361c371c37e336e336103710378c3667361e371e370f371037e436e136
41,41,0,020002000200f0ff0000f2fff4ff0400f4ff06000800fafff6ffd6ff08000800,00002000080008000400f2fffaff2a00e6ff0800e6ffe6fff2fff2ff16001600,e436e136d736d836ea36e836d236d23646661d33e812ad46af5419175f29dd64,dd36da361c371b37e336e336ea360f378c368a361d371d3711370f37e336e436
42,42,0,f0ff0200f0fff0fff2ff2e0004000400e4ff06001800460008000800d8ffe8ff,00001000dcffdcff0400f2fffaff0a00e6ffe6ff280008001400140016000600,e136e536d736d436e736e936d236d1365124aa582c4829136638ea662a25a906,dd36dd361a371c37e436e3360e37ec368c368e361d371d370e371037e236e236
43,43,0,0200f0ffe0ff020000000000e4fff4fff4ffe4ff2800faffe6fff6ff0800f8ff,eeffeeff18000800040014001a000a00d4ffd4ffe6ffd6ff0400f2fff6ffe6ff,e236e336d736d936e836eb36d236d4365234a2069a4697684a174907db64715a,da36dc361c371b37e336e53612370e378c368b361c371c3711370f37e436e236
44,44,0,1200020002000200f2ffe2ff04001400f4fff4ffeaff4600f6ff1800c8ffe8ff,eeff00000800080004000400faffeaff08001800e6fff6ff0400240006001600,e636e336d536d736e836e836ad36af36a55849665713e012e466da54a6062d29,db36db361b371a37e536e3360f370f378c368c361e371b370f370f37e336e336
45,45,0,12000200f0fff0ff00002000f4fff4ff0600160028000800f6ff0800e8fff8ff,00000000dcff1800d2ff14000a000a001800f6fff6fff6ff140004000600e6ff,e236e436d936d736e636eb36d336ae36a606482498683a484a075d38975a5525,da36da361b371937e436e436123710378d368d361b371c370d370f37e036e336
46,46,0,f0ff2200220002001000f2fff4fff4ffe4fff4fffaff18000800f6ffa8ffe8ff,1000eefff6ff180014000400faff1a00f6ff0800f6fff6fff2ff140006002600,e036e136d736d736e836e836af36d2364c665a34d812964612564f172329d164,dc36d93619371b37e436e336113711378c368c361f371c3710371137e236e336
47,47,0,f0ff12001200020020002000f4ff2400f4fff4ff08000800180028002800f8ff,100010000800cafff2ffe2ff0a000a000800f6fff6fff6fff2ff04000600e6ff,e136e136d736d436e836e836ae36ae361a249a5864485f133138e2665e25a706,db36db361b371837e536e1360f370e378b368e361c371d370f370c37e536e236
48,48,0,02003400220002000000f2ffe4fff4fff4ff0600180008000800f6ffe8fff8ff,eeff000018001800f2ffe2ff0a001a00e6ff0800e6ffd6ff1400f2ffe6fff6ff,e136e236d836d936e636e636d336d3366734aa066746956860182207aa64a55a,db36da361a371c37e436e33610370e378c368d361b371e370e370f37e236e536
49,49,0,22002200e0ff2200000010002400f4ff16001600eaff180008001800e8fff8ff,00001000f6ff0800f2fff2ffeaff1a0008001800f6ff180014001400e6ff1600,e136e236d536d636eb36e936d136d136965855666413b012e1661656a4061b29,dc36dc361b371a37e436e4360e370f378d368c361e371c3710370f37e336e136
50,50,0,12001200e0ff22002e000000e4fff4fff4fff4ff46003600f6fff6ffd8ff2800,deffeeff1800dcfff2ffe2ff2a000a00d4ff080008001800040014000600e6ff,e236e136d836d736e636e736d336ae36ac060c23976899481a072337aa5a6f26,da36dc361a371a37e436e43610370d378c368e361b371c370f370f37e336e236
51,51,0,1200220002000200000010000400f4ff160006001800faffe6ff08000800e8ff,eeffeefff6ff0800f2ff0400eaff0a00f6fff6fff6fff6fff2fff2ff0600e6ff,e236df36d736d836e736e736ae36d13657669134ac1237461a565c17ed28a764,db36db361b371a37e336e33610370d378b368e361c371c3710370e37e436e136
52,52,0,020034002200f0ff2e000000e4ff0400a8ff06000800360018000800d8ffd8ff,2000eeff18000800f2ffe2ff2a000a000800f6fff6ffe6fff2fff2ff1600c6ff,e236e536d636d636e736e936af36af36e42267589b4867131437da667326a606,da36db361b371a37e336e3360f370e378c368e361c371c370d370e37e236e236
53,53,0,02001200f0fff0ff10000000e4ff04002600b8ff18000800f6ff38000800e8ff,0000deffdcff08000400f2ff0a001a0018001800f6ffe6ff040004001600e6ff,e336e336d936d936e636e936d336d3369834d1063046946863181a07a164d45a,da36da361b371937e436e3360f3711378c368c361d371e3710370f37e136e236
54,54,0,120002000200f0ff20000000d4fff4ff16002600faff08001800f6ffe8fff8ff,eeff00001800dcffd2ff14000a00fafff6ff08000800e6ff0400140006000600,e236e736d736d836e736e836ae36ae365f585a666e13a512d4662656a306e228,dc36db3619371a37e436e5360e370f378e368c361e371e370f371137e436e236
55,55,0,2200120002000200f2ff2e00f4fff4ff1600060092ff1800e6fff6ff0800e8ff,100020001800f6ffe2ff04002a001a000800e6fff6ffe6fff2ff0400f6ff0600,e136de36d936d736e636ec36d436af36d106d8229468ac4816070f37dd5aa126,dc36da361b371937e436e53611370e378d3668361f371c370f370e37e236e136
56,56,0,020034000200120010000000f4ffe4ffd4ff1600eaff2800e6ff1800d8ffe8ff,0000eeff080008000400e2ffeaff0a002a001800e6ff0800140014000600e6ff,e736e336d636d936e936e836af36d2366166a8349e12234556569518d6287664,db36db361a371c37e536e2360f370f378c368d361a3719370e370e37e336e236
57,57,0,020012000200d0ff2e00000014001400060016000800faff1800f6ff0800e8ff,00003000f6ff1800f2fff2ff0a00eaff18001800e6fff6fff2ff140006000600,df36e236d836d436e936e836d336af36ac225958d8487313e436d366ac26a006,da36dc361c371a37e536e3360f370f378b368c361e371c370e370e37e336e436
58,58,0,22000200f0ffe0ff2000200004004400f4ff0600faff080018000800b8ff0800,eeff10002a001800f2ffe2ff0a00fafff6ff080008000800f2fff2ffd6ff1600,e136e236d936d836e636e736d236d236d734d30619459368a61814077164e15a,d936da361a371c37e436e3360e3711378c368c361c371c3711370f37e336e336
59,59,0,12001200d0ff02004c0010000400d4ff0600160008001800e6ffe6fff8ffd8ff,0000100018000800f2ff0400baffeaff0800e6ffe6fff6ff14000400f6fff6ff,e536e136d636d736ec36e936ad36ad3650586466a6149712af665c56a306a628,dc36db3619371937e436e3360e370e378c368d361c371d370e370e37e336e236
60,60,0,f0ffe0ff0200220000001000e4fff4ff160006000800faff18000800c8ffb8ff,eeff00001800f6ff140004000a002a00e6ffe6ffe6ffe6ff040004002600e6ff,e236e436d936d836e636e836d336ad36d906a3226e68e148e906d236ef62dd26,da36db361b371b37e436e63610370e378f368d361d371d370e371037e336e036
61,61,0,f0ff02000200020000000000f4ffe4ff1600a8ffdaffeaff18000800e8ffe8ff,eeff00001800f6ff0400f2ffdaff0a0018000800d6ffb6ff14001400f6ff1600,e536e336d836d836e736e736d536ae366666e2349512ee445f56aa18a0286964,da36db3619371a37e236e336123711378d368e361e371c3710370e37e336e236
62,62,0,120002003200020010002e00f4ff040006000600faff74ff0800f6ffb8ff98ff,20000000180008000400f2ffdaff0a0008001800e6ffe6fff2ff1400e6ffd6ff,e136e236d636d436e736ea36ac36ae369a224758e848a814a436a866e426a306,dd36de361b371c37e436e3360e370f378b368d361e371c370f370e37e436e036
63,63,0,12000200f0ff120010000000f4fff4ff2600f4fffaff0800f6ff0800e8ffd8ff,0000000018000800140014000a001a0018001800e6ff0800040004001600d6ff,e236e036d736d936e736e736d436d5360e35db06e2449468ae18e8066764f662,dc36db361c371b37e336e1360f370e378d368c361c371b370e371037e336e336
64,64,0,0200d0ff0200e0ff20000000e4ff04001600060018000800180028001800e8ff,0000200018001800e2fff2fffaffeafff6ff080008000800140014000600f6ff,e536e136d936d636e736e936ae36ae36df568f66d9146c12a7666b56a2066f28,dc36dd361b371a37e436e5360e3710378d368b361a371b370e370e37e236e236
65,65,0,f0fff0ff0200f0ff100010000400d4ffe4ff06000800faffe6ff0800d8fff8ff,000010002a00f6fff2ff14001a000a00f6fff6ff1800e6ff1400140016000600,e536df36d936d736e736e836af36ae36dc06902299686548ae06d434f6622027,da36db361c371b37e436e43611370f378d368d361d371c370d370e37e536e436
66,66,0,22001200f0ff120010000000f4ff0400e4ff1600eaff080018000800f8ff0800,deff00002a00caff14000400eaff0a00e6ffe6ff0800d6ffe2ff140036001600,e336e236d536da36e936e736ad36af3694661935d812984625576e2267276164,db36da361b371b37e436e236ea3611378c368d361e371b370d370e37e236e536
67,67,0,02001200f0fff0ff2e000000f4ff04000600e4ff180008000800f6ffe8ff0800,eeffeeff1800baffd2ff04000a00fafff6ffe6ff0800f6fff2fff2ff06000600,e236e336d436d636e936e936d336d2366722115765485713d63460661a27a106,da36dc361a371a37e336e3360e370f378d368d361c371a370d370c37e336e436
68,68,0,02001200120002002e00000004000400060006000800080018001800a8fff8ff,0000100018000800f2ffe2ff0a000a001800e6fff6ffe6fff2ff240016001600,e236e236d736d736e736e836d336d3364836de066b469868a322ab065a642263,da36db361b371b37e336e33610370f378c368c361a371d370d370e37e236e036
69,69,0,22002200f0ffe0ffe2fff2fff4fff4ffe4fff4ff84ff0800e6fff6ffe8ffe8ff,1000eeff08002a00f2fff2ff1a000a0018000800080008000400040016001600,e236e336d336d636e936e736ad36af36e45698665e13ae125d664857a0066327,dc36db3619371b37e436e4360d370f378e3668361d371d370e371037e336e236
70,70,0,020002002200f0ffd4ffe2fff4ff2400e4fff4ff36002800f6ff1800e8ffc8ff,eeff1000f6ff0800e2ff04000a00eafff6ff0800f6ff08000400040006000600,e136e036d936d636e736e936d336af36e106582296689648a606a43429631f27,dc36db361c371a37e236e33611370e378e368c361d371c3710371037e336e236
71,71,0,12000200020012000000f2ffe4ffe4fff4ffe4ff280028001800e6ffd8ff98ff,eeffeeff1800180004000400faffcaff0800e6ff080008000400040016003600,e736e336d736d936ea36e736af36af369d665636a91237463058a8222e272d5c,db36d9361c371837e436e436103712378d368c361e371c370e370e37e236e236
72,72,0,0200020012000200e2ff100004000400a8ff1600faff0800f6ff2800e8ffe8ff,00000000f6ff2a000400d2ff0a00faff08001800f6ff08000400240026000600,e036e636d636d536e736ea36af36b0365222dc56a24869136d345a665527a106,dc36db361b371b37e436e2360e370e378e368c361e371c370d370d37e136e336
73,73,0,12000200f0ff020010002e0004002400f4ff06000800180018001800d8fff8ff,3000deff08000800f2ff1400fafffaff2a00f6ff0800e6ff0400f2fff6ff3600,e436e036d836d836e836e736d436b0365c36e1062f469868af22a806255c5263,db36db361c371c37e236e136113710378c368e361e371e3710370e37e236e036
74,74,0,1200120012000200f2ff2000d4fff4fff4ff0600080018000800f6ff0800f8ff,00000000baff0800f2ff04000a001a0008001800f6fff6ff140004000600e6ff,e336e436d436d536eb36e936d236af36d7569f666e13a4122e665b589f062727,db36dd361b371b37e336e3360e370e378d368e361d371d370f370f37e236e136
75,75,0,020002000200120020000000f4ff1400f4ff06001800180008000800f8ffe8ff,0000000018002a00040004002a000a002a00e6fff6ff0800e2ff2400f6ff1600,df36df36db36d936e736e736b036ae36e40648229668a948a5066b3458635b27,da36db3619371b37e236e23614370f378b368d361e371c370d370e37e336e236
76,76,0,02000200120002000000100024000400160006001800eaff08000800d8ff0800,20001000f6ff0800e2fff2ff0a00fafff6fff6ff2800d6fff2fff2ff06000600,e536e236d636d736ea36e736d236d636a46667369b1221456b58dc22f526215b,db36db361b371a37e436e4360f370e378e3668361e371d370f371037e236e236
77,77,0,120002002200e0fff2fff2ff1400d4fff4fff4ff280008001800f6ffe8fff8ff,000010000800f6fff2ff04000a00eaff08001800f6ff1800f2ff140026001600,e136e136d736d436e736ea36d236ae361e22d556d6486e1362342c6665279f06,dc36db361c371b37e136e3360f370f378c368e361e371c370f370e37e236e036
78,78,0,f0fff0ff02000200f2ff0000d4ff14000600e4ff1800daff08002800d8ffc8ff,2000eeff18001800f2fff2ff2a000a001800e6ffe6ff0800f2fff2ffe6ff0600,e236e136d836dc36e736e336d336d23698360d071d459668eb22a206f05a6164,db36da361b371a37e336e13610370f378e368e361e371e370e370e37e336e436
79,79,0,1200e0fff0ff0200e2ff2000f4fff4fff4ff06000800faffe6ff18001800e8ff,0000eeff1800080004000400faff0a00f6fff6ffe6ff28001400f2fff6fff6ff,e336e336d736d536ec36e836ad36ae36a556a866a614961225669058a106ea26,dd36db361b371a37e436e3360f3711378d368d361f3720370e371037e336e336
80,80,0,f0ff02001200e0fff2ff2e00040004001600f4fffafffaff18001800f8ffb8ff,deff100008001800140004000a000a00e6ff0800080008000400240006001600,e036e136d936d636e536e836d336ae361207091a9568e648a106323465647028,dd36dc361b371837e336e43610370f3790368c361c371d370c370e37e336e036
81,81,0,02001200220012002e00f2ff0400d4ff0600f4ff0800fafff6ff0800e8ffe8ff,1000eeff18001800140004000a000a00e6ff0800f6fff6ff0400040026003600,e336e136d736d836e936e736af36d436d166a7366d12ef4494581423e726ee5a,db36da3619371c37e536e6360f370f378c368d361e371b370e370e37e236e336
82,82,0,02000200f0fff0ff00002000e4ffe4ff0600060054001800e6ff0800a8ffe8ff,1000defff6ff1800f2fff2ff2a00eaffe6fff6fff6fff6fff2ff04000600b6ff,e236e336d636d636e836eb36b036b0360a1a9556eb48a9141e332066a428a106,db36dc361b371937e436e63611370d378d368c361e371e370e371037e336e336
83,83,0,020012001200220010000000f4ff14001600f4ff280018000800f6ff98ffb8ff,eeffeeff18000800f2ff04000a001a00f6ffe6ff0800f6ff24000400f6fff6ff,e236dd36d836d936e736e736d336af36d2361207e24494681b23a106e75a6964,db36db361b371a37e236e1360f370f378b368d361e371d370f370e37e336e536
84,84,0,22001200c0ff02002000f2ffd4ffd4ff1600f4ff1800a2ffd6fff6ffe8fff8ff,eeffeefff6ff1800f2fff2fffaffdaffd4ff18000800180004001400f6fff6ff,e136e536d636d536e936e936ae36af368e56aa66d7146a121c66a158a006d326,da36dc361b371c37e536e6360e3711378e368b361b371e370e370e37e536e436
85,85,0,020022000200f0ff000000000400e4ff98ff1600080008000800f6ffd8fff8ff,eeff000018001800f2ffe2ff0a001a00e6fff6fff6fff6fff2ff040016001600,dd36e136d936d636e736ea36d236b0361707d818926816499e061b337064a728,da36da361c371e37e436e4360f370f378a368c361d371b370f370d37e336e336
86,86,0,020022000200e0fff2ff1000f4fff4ff060016001800fafff6ffc6ffa8ffd8ff,0000000018001800f2fff2ff0a000a00f6ffe6ff080008000400f2fff6ff0600,e336e336d536d736e936e636d236d236da66e1363d12ad44d2584a23a926df5a,dc36da3618371c37e536e3360e3710378c368c361e3719370e370e37e336e336
87,87,0,12001200f0ff120010000000e4ffe4fff4ff16000800280018000800b8fff8ff,eeff200008000800f2ff0400eaff0a00d4ffe6fff6fff6ff1400f2ff1600f6ff,e136e236d736d636ea36e936af36ae36d01860562d4ae01414331766dc28a106,db36db361a371a37e536e3360e3710378d368d361c371f370d371037e336e236
88,88,0,220002000200e0ff1000100014000400e4ff160028001800e6ff08000800d8ff,000000000800e6fff2ff0400faff0a00e6ff0800f6ffe6ff14001400f6ffe6ff,e436e036da36d836e736e736af36b03610371b07a3446f6862249a06d55a9c64,d936da3619371b37e336e43610370f378d368d361d371b3710370e37e336e336
89,89,0,12000200e0ff22002000f2ff04002400e4ff06001800eaff2800f6fff8ffb8ff,1000deff18001800f2ff14000a00eafff6ff0800f6ff08001400140026002600,e136e236d836d736ea36ec36ae36af364a56d866e21435121166d5589e069d26,db36dc361b371a37e336e336103710378d368c361a371c370f370e37e336e436
